"State","AverageTemperature"
"Florida","71.5000"
"Hawaii","70.2000"
"Louisiana","67.2000"
"Texas","65.8000"
"Georgia","64.3000"
"Mississippi","64.3000"
"Alabama","63.7000"
"South Carolina","63.4000"
"Arizona","61.1000"
"Arkansas","61.1000"
"Oklahoma","60.4000"
"North Carolina","59.6000"
"California","59.1000"
"Tennessee","58.5000"
"Kentucky","56.4000"
"Delaware","56.3000"
"Virginia","56.1000"
"Maryland","55.5000"
"Missouri","55.3000"
"Kansas","55.1000"
"New Mexico","54.5000"
"New Jersey","53.6000"
"Illinois","52.7000"
"West Virginia","52.7000"
"Indiana","52.5000"
"Ohio","51.8000"
"Nevada","51.1000"
"Rhode Island","50.8000"
"Connecticut","50"
"Pennsylvania","49.6000"
"Nebraska","49.5000"
"Utah","49.3000"
"Massachusetts","48.9000"
"Iowa","48.4000"
"Oregon","48"
"Washington","47.4000"
"Colorado","46.3000"
"New York","46.1000"
"South Dakota","45.8000"
"Michigan","45.3000"
"New Hampshire","44.2000"
"Idaho","44"
"Wisconsin","44"
"Vermont","43.2000"
"Montana","42.6000"
"Wyoming","42.3000"
"Maine","41.9000"
"Minnesota","41.8000"
"North Dakota","41.1000"
"Alaska","28.1000"
